,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
0,0.0,-0.131,-1.0,-0.322,0.0,0.624
1,0.682,-0.123,-0.731,-0.302,0.001,0.615
2,0.612,-0.108,-0.791,-0.275,0.006,0.568
3,0.605,-0.095,-0.796,-0.237,0.007,0.527
4,0.574,-0.069,-0.819,-0.194,0.008,0.482
5,0.545,-0.041,-0.839,-0.151,0.013,0.423
6,0.501,-0.036,-0.866,-0.103,0.017,0.361
7,0.508,-0.024,-0.861,-0.085,0.019,0.341
8,0.513,-0.025,-0.858,-0.067,0.023,0.297
9,0.524,-0.005,-0.852,-0.037,0.025,0.254
10,0.533,-0.009,-0.846,-0.035,0.027,0.232
11,0.572,-0.009,-0.82,-0.013,0.033,0.202
12,0.598,0.012,-0.802,0.022,0.036,0.195
13,0.615,0.014,-0.788,0.017,0.041,0.173
14,0.624,-0.001,-0.782,0.009,0.045,0.163
15,0.629,-0.01,-0.778,0.022,0.048,0.16
16,0.63,0.001,-0.777,0.025,0.049,0.173
17,0.64,-0.002,-0.769,0.027,0.052,0.196
18,0.651,-0.009,-0.759,0.02,0.056,0.181
19,0.652,-0.012,-0.758,0.004,0.057,0.209
20,0.662,0.012,-0.75,0.011,0.058,0.212
21,0.674,0.006,-0.739,-0.003,0.061,0.204
22,0.68,0.008,-0.733,-0.006,0.064,0.186
23,0.685,-0.012,-0.728,-0.005,0.068,0.198
24,0.687,0.003,-0.726,-0.007,0.072,0.182
25,0.685,-0.014,-0.728,-0.008,0.075,0.165
26,0.678,-0.019,-0.735,0.002,0.078,0.219
27,0.671,-0.01,-0.741,-0.001,0.08,0.244
28,0.67,-0.017,-0.742,-0.01,0.08,0.241
29,0.667,-0.03,-0.745,-0.02,0.082,0.281
30,0.666,-0.017,-0.746,-0.011,0.083,0.289
31,0.663,-0.01,-0.749,-0.006,0.088,0.284
32,0.663,-0.002,-0.749,-0.005,0.094,0.274
33,0.662,-0.009,-0.75,-0.003,0.097,0.232
34,0.662,-0.003,-0.75,-0.01,0.097,0.281
35,0.662,-0.004,-0.75,-0.015,0.099,0.256
36,0.662,-0.022,-0.749,-0.033,0.1,0.236
37,0.668,-0.012,-0.744,-0.02,0.101,0.268
38,0.678,-0.002,-0.735,-0.009,0.105,0.254
39,0.689,0.009,-0.725,0.001,0.108,0.231
40,0.705,-0.016,-0.709,0.004,0.114,0.271
41,0.721,-0.003,-0.693,0.022,0.118,0.253
42,0.733,-0.001,-0.68,0.021,0.121,0.256
43,0.744,0.013,-0.669,0.014,0.123,0.229
44,0.753,0.019,-0.658,0.04,0.125,0.231
45,0.767,0.02,-0.642,0.04,0.129,0.207
46,0.772,0.011,-0.636,0.029,0.13,0.217
47,0.787,0.018,-0.617,0.032,0.133,0.235
48,0.804,0.016,-0.594,0.051,0.135,0.25
49,0.827,0.005,-0.562,0.047,0.138,0.199
50,0.841,-0.011,-0.541,0.031,0.139,0.233
51,0.847,0.006,-0.531,0.041,0.14,0.238
52,0.856,0.015,-0.517,0.036,0.141,0.259
53,0.857,0.009,-0.515,0.034,0.141,0.272
54,0.86,-0.008,-0.51,0.017,0.142,0.248
55,0.862,-0.008,-0.507,-0.013,0.142,0.269
56,0.866,0.004,-0.5,-0.017,0.144,0.294
57,0.87,-0.002,-0.494,-0.026,0.145,0.28
58,0.876,-0.016,-0.483,-0.02,0.148,0.318
59,0.883,-0.008,-0.469,-0.022,0.151,0.291
60,0.886,-0.012,-0.463,-0.023,0.152,0.285
61,0.898,-0.007,-0.441,-0.007,0.155,0.332
62,0.899,-0.007,-0.438,-0.024,0.156,0.305
63,0.902,-0.018,-0.432,-0.041,0.157,0.31
64,0.91,-0.01,-0.415,-0.012,0.16,0.305
65,0.92,-0.005,-0.392,-0.009,0.165,0.28
66,0.927,-0.006,-0.376,0.003,0.167,0.309
67,0.935,-0.007,-0.356,0.006,0.17,0.302
68,0.94,-0.007,-0.341,0.002,0.174,0.293
69,0.946,0.0,-0.325,0.035,0.177,0.291
70,0.948,0.008,-0.318,0.044,0.178,0.264
71,0.953,0.023,-0.302,0.055,0.181,0.241
72,0.956,0.006,-0.293,0.043,0.183,0.25
73,0.96,0.028,-0.281,0.057,0.185,0.249
74,0.965,0.023,-0.263,0.058,0.188,0.254
75,0.966,0.003,-0.26,0.04,0.189,0.279
76,0.97,0.006,-0.245,0.045,0.193,0.256
77,0.971,0.024,-0.239,0.039,0.195,0.291
78,0.972,0.01,-0.235,0.031,0.196,0.301
79,0.974,0.008,-0.226,0.037,0.2,0.298
80,0.977,-0.005,-0.215,0.031,0.203,0.313
81,0.979,0.014,-0.204,0.04,0.205,0.292
82,0.981,0.008,-0.194,0.025,0.208,0.312
83,0.982,0.011,-0.188,0.019,0.209,0.322
84,0.983,-0.002,-0.181,0.002,0.211,0.304
85,0.984,0.01,-0.175,0.029,0.215,0.332
86,0.985,0.025,-0.171,0.046,0.217,0.29
87,0.986,0.009,-0.165,0.042,0.224,0.302
88,0.987,0.01,-0.16,0.04,0.228,0.313
89,0.988,0.012,-0.157,0.059,0.232,0.311
90,0.988,0.021,-0.154,0.052,0.235,0.283
91,0.988,0.015,-0.154,0.061,0.239,0.301
92,0.988,0.021,-0.155,0.065,0.245,0.286
93,0.988,0.023,-0.157,0.048,0.248,0.297
94,0.987,0.023,-0.159,0.058,0.252,0.296
95,0.987,0.027,-0.161,0.036,0.254,0.281
96,0.986,0.016,-0.165,0.056,0.26,0.324
97,0.986,0.025,-0.166,0.064,0.261,0.311
98,0.986,0.027,-0.168,0.059,0.269,0.287
99,0.986,0.009,-0.169,0.038,0.271,0.337
100,0.985,0.016,-0.172,0.042,0.276,0.306
101,0.985,0.02,-0.173,0.04,0.277,0.332
102,0.984,0.016,-0.175,0.051,0.28,0.332
103,0.983,0.01,-0.185,0.035,0.286,0.33
104,0.983,-0.005,-0.186,0.015,0.287,0.375
105,0.982,0.016,-0.189,0.021,0.289,0.351
106,0.981,0.016,-0.193,0.024,0.293,0.369
107,0.981,-0.008,-0.194,0.001,0.294,0.354
108,0.981,-0.005,-0.195,-0.003,0.296,0.375
109,0.98,-0.001,-0.197,0.01,0.3,0.396
110,0.979,0.011,-0.202,0.011,0.304,0.375
111,0.979,-0.004,-0.205,0.015,0.308,0.353
112,0.979,0.002,-0.205,0.015,0.312,0.37
113,0.979,-0.007,-0.206,0.012,0.315,0.342
114,0.978,-0.005,-0.206,-0.015,0.317,0.378
115,0.978,-0.017,-0.207,0.005,0.317,0.433
116,0.978,-0.009,-0.209,0.01,0.32,0.423
117,0.977,0.001,-0.213,0.009,0.323,0.41
118,0.977,-0.008,-0.215,0.005,0.325,0.435
119,0.976,0.002,-0.216,-0.006,0.327,0.429
120,0.976,0.004,-0.219,-0.004,0.33,0.446
121,0.975,-0.01,-0.223,0.009,0.334,0.421
122,0.975,-0.007,-0.224,-0.008,0.336,0.415
123,0.974,0.006,-0.227,0.021,0.338,0.453
124,0.973,0.006,-0.231,0.016,0.341,0.449
125,0.972,-0.005,-0.233,0.006,0.342,0.426
126,0.972,-0.006,-0.235,0.001,0.344,0.417
127,0.971,-0.003,-0.238,-0.007,0.345,0.451
128,0.97,-0.001,-0.241,-0.021,0.348,0.436
129,0.97,-0.016,-0.245,-0.025,0.35,0.465
130,0.969,-0.003,-0.249,-0.002,0.352,0.463
131,0.967,0.01,-0.256,-0.003,0.356,0.447
132,0.966,0.001,-0.258,0.0,0.357,0.458
133,0.965,-0.003,-0.264,-0.005,0.362,0.481
134,0.964,-0.001,-0.266,-0.011,0.364,0.485
135,0.963,-0.002,-0.268,0.002,0.366,0.473
136,0.963,-0.012,-0.27,-0.014,0.368,0.457
137,0.963,-0.001,-0.271,-0.02,0.369,0.484
138,0.962,-0.007,-0.273,-0.013,0.369,0.525
139,0.961,-0.012,-0.277,-0.029,0.373,0.499
140,0.96,0.002,-0.28,-0.003,0.376,0.536
141,0.959,-0.002,-0.283,-0.011,0.38,0.529
142,0.959,-0.007,-0.284,-0.018,0.38,0.505
143,0.959,-0.005,-0.284,-0.008,0.382,0.529
144,0.959,-0.017,-0.285,-0.032,0.385,0.514
145,0.959,-0.007,-0.285,-0.026,0.386,0.556
146,0.959,-0.0,-0.285,0.001,0.388,0.513
147,0.958,-0.01,-0.286,-0.004,0.394,0.541
148,0.958,-0.011,-0.286,0.004,0.396,0.58
149,0.958,-0.002,-0.285,0.001,0.399,0.541
150,0.958,-0.003,-0.287,0.011,0.404,0.525
151,0.958,0.004,-0.287,-0.001,0.407,0.487
152,0.958,0.003,-0.288,-0.014,0.408,0.497
153,0.958,-0.011,-0.288,-0.043,0.41,0.52
154,0.958,-0.006,-0.288,-0.011,0.411,0.525
155,0.958,-0.006,-0.288,-0.01,0.415,0.518
156,0.958,-0.022,-0.288,-0.01,0.417,0.562
157,0.957,-0.0,-0.289,-0.015,0.42,0.598
158,0.957,-0.032,-0.29,-0.039,0.422,0.626
159,0.957,-0.04,-0.29,-0.039,0.423,0.639
160,0.957,-0.016,-0.29,-0.028,0.426,0.624
161,0.958,-0.006,-0.287,-0.013,0.433,0.626
162,0.958,0.0,-0.286,-0.004,0.435,0.616
163,0.959,-0.008,-0.283,0.002,0.439,0.582
164,0.96,-0.001,-0.282,-0.006,0.44,0.587
165,0.961,0.013,-0.277,0.017,0.444,0.567
166,0.962,0.01,-0.273,0.021,0.448,0.548
167,0.964,0.0,-0.265,0.024,0.452,0.525
168,0.965,0.022,-0.264,0.024,0.453,0.539
169,0.965,0.009,-0.261,0.022,0.456,0.529
170,0.967,0.017,-0.256,0.028,0.46,0.513
171,0.967,0.002,-0.256,0.017,0.46,0.534
172,0.967,0.005,-0.255,-0.004,0.461,0.531
173,0.968,-0.005,-0.251,0.001,0.463,0.564
174,0.969,-0.0,-0.248,0.009,0.466,0.588
175,0.97,-0.015,-0.243,0.002,0.47,0.618
176,0.971,-0.008,-0.241,-0.012,0.471,0.629
177,0.971,-0.004,-0.238,0.0,0.473,0.62
178,0.972,-0.004,-0.234,-0.002,0.476,0.611
179,0.974,0.0,-0.227,0.001,0.48,0.606
180,0.975,-0.019,-0.223,-0.009,0.482,0.556
181,0.975,-0.015,-0.221,-0.013,0.483,0.554
182,0.976,0.003,-0.218,-0.008,0.484,0.541
183,0.977,0.004,-0.213,-0.007,0.486,0.566
184,0.979,-0.006,-0.204,0.008,0.487,0.559
185,0.98,-0.006,-0.2,0.013,0.489,0.592
186,0.981,0.004,-0.193,0.013,0.49,0.568
187,0.983,0.0,-0.186,0.007,0.491,0.596
188,0.984,-0.018,-0.178,-0.006,0.492,0.627
189,0.984,-0.0,-0.176,-0.001,0.493,0.615
190,0.985,-0.001,-0.172,0.012,0.493,0.601
191,0.986,-0.013,-0.167,-0.005,0.494,0.669
192,0.986,-0.016,-0.165,-0.016,0.494,0.663
193,0.987,-0.018,-0.161,-0.02,0.494,0.674
194,0.987,-0.012,-0.158,-0.018,0.495,0.655
195,0.988,-0.024,-0.152,-0.036,0.496,0.668
196,0.989,-0.008,-0.145,-0.025,0.497,0.676
197,0.99,-0.012,-0.14,-0.031,0.498,0.645
198,0.991,0.008,-0.13,0.002,0.5,0.623
199,0.992,-0.004,-0.123,0.002,0.502,0.633
200,0.993,0.006,-0.117,-0.004,0.503,0.657
201,0.994,0.0,-0.109,0.014,0.505,0.637
202,0.995,-0.014,-0.105,0.023,0.506,0.651
203,0.995,0.01,-0.097,0.03,0.508,0.619
204,0.996,0.004,-0.092,0.005,0.509,0.629
205,0.996,-0.008,-0.09,0.006,0.509,0.658
206,0.997,-0.001,-0.083,0.016,0.511,0.606
207,0.997,-0.008,-0.08,-0.0,0.511,0.635
208,0.997,0.009,-0.071,0.005,0.513,0.646
209,0.998,0.003,-0.066,0.017,0.514,0.615
210,0.998,-0.002,-0.061,-0.002,0.514,0.625
211,0.998,-0.004,-0.059,-0.011,0.515,0.633
212,0.999,0.005,-0.054,0.009,0.516,0.603
213,0.999,-0.003,-0.045,0.003,0.52,0.61
214,0.999,-0.012,-0.043,-0.012,0.52,0.618
215,0.999,0.0,-0.04,0.006,0.521,0.646
216,0.999,-0.005,-0.036,0.005,0.523,0.644
217,1.0,-0.005,-0.032,-0.007,0.525,0.637
218,1.0,-0.006,-0.022,0.012,0.53,0.671
219,1.0,-0.008,-0.02,0.004,0.532,0.625
220,1.0,0.007,-0.019,-0.002,0.533,0.626
221,1.0,-0.006,-0.017,0.0,0.534,0.67
222,1.0,0.005,-0.014,0.022,0.538,0.639
223,1.0,0.008,-0.011,0.029,0.54,0.655
224,1.0,-0.004,-0.006,0.011,0.543,0.679
225,1.0,0.022,-0.004,0.045,0.547,0.656
226,1.0,0.007,0.0,0.052,0.552,0.655
227,1.0,0.018,0.003,0.043,0.556,0.667
228,1.0,0.017,0.004,0.038,0.558,0.641
229,1.0,0.027,0.008,0.049,0.564,0.569
230,1.0,0.019,0.012,0.061,0.568,0.564
231,1.0,0.026,0.014,0.06,0.572,0.543
232,1.0,0.022,0.015,0.045,0.574,0.571
233,1.0,0.018,0.016,0.063,0.578,0.577
234,1.0,0.011,0.017,0.032,0.579,0.549
235,1.0,-0.001,0.018,0.029,0.581,0.592
236,1.0,0.009,0.02,0.015,0.583,0.623
237,1.0,0.006,0.022,0.001,0.585,0.615
238,1.0,-0.006,0.023,-0.016,0.585,0.658
239,1.0,-0.016,0.024,-0.02,0.586,0.675
240,1.0,-0.01,0.026,-0.018,0.588,0.668
241,1.0,0.004,0.032,-0.009,0.591,0.716
242,0.999,-0.01,0.035,-0.01,0.594,0.693
243,0.999,-0.012,0.037,-0.019,0.596,0.712
244,0.999,-0.002,0.041,-0.001,0.599,0.714
245,0.999,-0.003,0.046,-0.004,0.603,0.679
246,0.999,-0.013,0.048,0.002,0.605,0.689
247,0.999,0.003,0.052,0.011,0.609,0.689
248,0.998,0.014,0.056,0.038,0.612,0.678
249,0.998,0.002,0.059,0.033,0.614,0.708
250,0.998,-0.011,0.064,0.021,0.617,0.709
251,0.998,-0.001,0.066,0.032,0.619,0.687
252,0.997,0.013,0.071,0.045,0.625,0.677
253,0.997,0.001,0.074,0.04,0.628,0.675
254,0.997,-0.001,0.077,0.029,0.63,0.695
255,0.997,0.006,0.08,0.035,0.632,0.665
256,0.996,0.001,0.086,0.034,0.636,0.642
257,0.996,0.023,0.087,0.041,0.636,0.636
258,0.996,0.02,0.092,0.046,0.641,0.644
259,0.996,0.007,0.093,0.008,0.642,0.667
260,0.996,0.012,0.093,0.019,0.643,0.654
261,0.996,0.009,0.094,0.016,0.645,0.64
262,0.995,-0.021,0.095,-0.022,0.646,0.672
263,0.995,0.007,0.097,-0.004,0.649,0.721
264,0.995,-0.011,0.1,-0.017,0.652,0.699
265,0.995,-0.014,0.101,-0.006,0.655,0.715
266,0.995,0.001,0.105,0.009,0.66,0.704
267,0.994,-0.015,0.107,-0.004,0.663,0.709
268,0.994,-0.006,0.108,-0.005,0.664,0.735
269,0.994,-0.021,0.111,-0.004,0.666,0.706
270,0.993,-0.0,0.116,0.006,0.67,0.669
271,0.993,0.01,0.119,0.02,0.672,0.656
272,0.992,0.004,0.124,0.02,0.674,0.659
273,0.992,0.014,0.128,0.017,0.677,0.666
274,0.991,0.0,0.131,0.026,0.68,0.64
275,0.991,0.005,0.135,0.019,0.683,0.674
276,0.991,0.002,0.137,0.012,0.685,0.676
277,0.99,0.008,0.138,0.012,0.685,0.679
278,0.99,-0.001,0.14,0.01,0.687,0.719
279,0.99,-0.005,0.141,-0.014,0.688,0.689
280,0.99,-0.02,0.143,-0.025,0.69,0.713
281,0.99,-0.025,0.144,-0.025,0.691,0.736
282,0.989,-0.017,0.147,-0.04,0.693,0.711
283,0.989,-0.025,0.149,-0.053,0.694,0.785
284,0.989,-0.024,0.15,-0.062,0.695,0.805
285,0.989,-0.037,0.151,-0.068,0.695,0.817
286,0.988,-0.028,0.153,-0.079,0.697,0.806
287,0.988,-0.025,0.155,-0.059,0.699,0.817
288,0.987,-0.018,0.158,-0.066,0.701,0.812
289,0.987,-0.035,0.161,-0.063,0.702,0.802
290,0.986,-0.022,0.167,-0.039,0.704,0.78
291,0.985,-0.019,0.174,-0.025,0.707,0.772
292,0.984,-0.001,0.179,-0.002,0.71,0.746
293,0.983,-0.006,0.182,0.0,0.712,0.759
294,0.983,0.002,0.185,0.008,0.714,0.768
295,0.982,0.004,0.188,0.02,0.716,0.756
296,0.981,-0.003,0.193,0.011,0.719,0.744
297,0.981,0.006,0.195,0.012,0.721,0.741
298,0.98,0.005,0.197,0.001,0.723,0.677
299,0.979,0.0,0.202,0.009,0.725,0.711
300,0.979,-0.005,0.202,0.005,0.726,0.695
301,0.979,-0.009,0.206,-0.002,0.727,0.727
302,0.978,0.002,0.209,0.013,0.729,0.718
303,0.977,0.006,0.213,0.011,0.733,0.699
304,0.976,0.006,0.217,0.017,0.737,0.707
305,0.976,0.016,0.219,0.021,0.74,0.676
306,0.975,-0.001,0.221,0.028,0.744,0.674
307,0.975,0.005,0.222,0.011,0.746,0.651
308,0.975,0.012,0.223,0.017,0.75,0.669
309,0.975,0.017,0.222,0.033,0.754,0.668
310,0.975,-0.003,0.222,0.024,0.757,0.67
311,0.975,0.006,0.223,0.039,0.759,0.731
312,0.975,0.005,0.222,0.028,0.764,0.687
313,0.975,0.002,0.223,0.041,0.768,0.672
314,0.975,0.006,0.222,0.042,0.774,0.667
315,0.975,0.005,0.222,0.027,0.778,0.625
316,0.975,-0.005,0.222,0.018,0.779,0.665
317,0.975,0.002,0.222,0.019,0.781,0.633
318,0.975,0.007,0.22,0.017,0.785,0.633
319,0.975,-0.002,0.22,0.009,0.786,0.665
320,0.975,0.006,0.22,0.008,0.788,0.696
321,0.976,0.006,0.22,0.027,0.794,0.677
322,0.976,-0.003,0.219,0.036,0.802,0.652
323,0.976,-0.001,0.218,0.042,0.808,0.652
324,0.976,0.014,0.217,0.031,0.811,0.671
325,0.976,0.015,0.217,0.036,0.812,0.703
326,0.977,0.007,0.215,0.038,0.816,0.674
327,0.977,-0.02,0.215,0.018,0.818,0.673
328,0.977,0.001,0.214,0.014,0.819,0.668
329,0.977,0.015,0.214,0.012,0.822,0.624
330,0.977,-0.002,0.212,0.006,0.828,0.64
331,0.977,-0.016,0.211,-0.0,0.83,0.681
332,0.978,-0.01,0.21,0.012,0.833,0.657
333,0.978,0.02,0.209,0.04,0.838,0.64
334,0.978,0.034,0.207,0.071,0.846,0.638
335,0.979,0.033,0.206,0.082,0.853,0.631
336,0.979,0.007,0.202,0.1,0.86,0.65
337,0.98,0.027,0.2,0.091,0.864,0.54
338,0.98,0.02,0.199,0.067,0.866,0.545
339,0.98,0.032,0.198,0.063,0.87,0.569
340,0.98,0.038,0.198,0.064,0.872,0.536
341,0.981,0.026,0.196,0.071,0.875,0.555
342,0.981,0.017,0.195,0.047,0.878,0.586
343,0.981,0.017,0.194,0.035,0.879,0.58
344,0.981,0.012,0.193,0.022,0.881,0.661
345,0.982,0.009,0.191,0.036,0.885,0.659
346,0.982,-0.0,0.188,0.023,0.889,0.657
347,0.982,-0.006,0.186,0.03,0.891,0.703
348,0.983,0.001,0.185,0.015,0.893,0.652
349,0.983,-0.0,0.184,-0.003,0.894,0.676
350,0.983,-0.021,0.182,-0.033,0.896,0.728
351,0.983,-0.017,0.182,-0.025,0.897,0.698
352,0.984,-0.012,0.181,-0.033,0.898,0.716
353,0.984,-0.015,0.18,-0.033,0.9,0.75
354,0.984,-0.003,0.176,-0.022,0.903,0.711
355,0.985,-0.015,0.175,-0.037,0.905,0.789
356,0.985,-0.025,0.173,-0.033,0.906,0.72
357,0.985,-0.008,0.171,-0.023,0.909,0.729
358,0.986,0.003,0.168,-0.005,0.915,0.73
359,0.986,-0.005,0.167,-0.0,0.916,0.693
360,0.986,0.014,0.165,0.018,0.922,0.675
361,0.987,0.003,0.163,0.019,0.926,0.698
362,0.987,-0.01,0.162,-0.005,0.927,0.684
363,0.987,-0.001,0.162,0.027,0.928,0.713
364,0.987,0.007,0.161,0.022,0.932,0.697
365,0.987,0.007,0.161,-0.0,0.933,0.69
366,0.987,0.008,0.16,0.026,0.937,0.671
367,0.987,0.015,0.158,0.023,0.942,0.672
368,0.987,0.005,0.158,0.013,0.944,0.658
369,0.987,0.005,0.158,0.015,0.945,0.679
370,0.988,0.008,0.157,0.022,0.947,0.697
371,0.988,-0.006,0.157,-0.012,0.949,0.672
372,0.988,-0.01,0.157,0.002,0.952,0.688
373,0.988,-0.001,0.157,0.006,0.956,0.7
374,0.988,0.002,0.157,0.004,0.959,0.677
375,0.988,0.018,0.157,0.011,0.963,0.699
376,0.988,-0.003,0.157,0.013,0.967,0.71
377,0.988,-0.001,0.157,0.018,0.969,0.664
378,0.987,0.013,0.158,0.029,0.974,0.71
379,0.987,0.005,0.158,0.016,0.977,0.671
380,0.987,0.01,0.159,0.033,0.982,0.652
381,0.987,0.013,0.16,0.04,0.986,0.671
382,0.987,0.009,0.161,0.033,0.989,0.64
383,0.987,0.006,0.161,0.03,0.992,0.648
384,0.987,-0.011,0.162,0.011,0.994,0.682
385,0.987,0.012,0.162,0.012,0.996,0.649
386,0.987,-0.005,0.162,-0.002,0.998,0.652
387,0.987,-0.008,0.162,0.001,0.999,0.666
388,0.987,0.01,0.162,0.001,1.003,0.637
389,0.987,0.007,0.163,0.009,1.008,0.658
390,0.987,-0.003,0.163,0.014,1.009,0.651
391,0.987,-0.01,0.163,0.003,1.012,0.643
392,0.987,0.003,0.162,0.002,1.013,0.691
393,0.987,0.002,0.161,0.008,1.018,0.655
394,0.987,-0.012,0.16,0.016,1.022,0.648
395,0.987,-0.006,0.16,0.008,1.026,0.663
396,0.987,0.017,0.159,0.019,1.029,0.645
397,0.987,0.004,0.159,-0.004,1.032,0.664
398,0.987,-0.013,0.16,-0.0,1.033,0.661
399,0.987,-0.004,0.16,0.005,1.036,0.654
